resource_uri,label,prefLabel,altLabel,spatial,date,description,identifier,closeMatch,twitch,freebase,mobyGames,metacritic,seeAlso,imdb,abstract,audience,natureOfContent,serialNumber,disambiguatingDescription,locationCreated,about,subjectOf,gameLocation,creator,productionCompany,relatedAgent,logo,relation,isPartOf,hasPart,precedes,succeeds,sequelTo,sequel,remadeAs,complements,expandedAs,spinOff,note,genre,narrativeGenre,theme,mood,setting,series,franchise,mechanic,protagonist
https://collection.rcgs.jp/resource/WORK0000560,エフェラ アンド ジリオラ ジ・エンブレム フロム ダークネス,エフェラ アンド ジリオラ ジ・エンブレム フロム ダークネス|EFERA & JILIORA The Emblem From Darkness,,,,,,https://www.wikidata.org/wiki/Q11290542,,,https://www.mobygames.com/game/efera-jiliora-the-emblem-from-darkness,,https://ja.wikipedia.org/wiki/エフェラ_アンド_ジリオラ_ジ・エンブレム_フロム_ダークネス,,,,,,,JP,,,,,,,,,,,,,,,,,,,,アクションロールプレイングゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0006013,クイズ＄ ミリオネア わくわくパーティー,クイズ＄ ミリオネア わくわくパーティー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0006462,"NIGHTRUTH ＃01 ""闇の扉""","NIGHTRUTH ＃01 ""闇の扉""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビジュアルノベル,ミステリー,,,,NIGHTRUTH,,,
https://collection.rcgs.jp/resource/WORK0009175,リアルバウト餓狼伝説スペシャル (1997),リアルバウト餓狼伝説スペシャル|Real Bout Fatal Fury Special,,,1997,,,https://www.wikidata.org/wiki/Q1137268,,,https://www.mobygames.com/game/real-bout-fatal-fury-special,,https://en.wikipedia.org/wiki/Real_Bout_Fatal_Fury_Special,,,,,,,JP,,,,,https://collection.rcgs.jp/resource/AGENT0001558,,,,,,,,,,,,,,,対戦格闘ゲーム|格闘,アクション,,競争的,,リアルバウト餓狼伝説|餓狼伝説,餓狼伝説,,
https://collection.rcgs.jp/resource/WORK0003565,ArmA: Armed Assault (2006),ARMA: Armed Assault|ArmA: Armed Assault|武装突袭|암드 어설트,ARMA|アームド アサルト|アームド・アサルト|アームドアサルト|Armed Assault|ARMA: Armed Assault|ArmA,,2006,,,https://www.wikidata.org/wiki/Q590516,,/m/06k_3_,https://www.mobygames.com/game/arma-combat-operations|https://www.mobygames.com/game/arma-armed-assault-gold-edition,https://www.metacritic.com/game/pc/arma-combat-operations,https://ja.wikipedia.org/wiki/ArmA:_Armed_Assault,,,,,,,,,,,,https://collection.rcgs.jp/resource/AGENT0003297,,,,,,,,,,,,,,,サードパーソン・シューティングゲーム|ファーストパーソン・シューティングゲーム|タクティカルシューター,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002237,幻世虚構・精霊機導弾 (1997),幻世虚構・精霊機導弾|Elemental Gearbolt|幻世虛構 精霊機導彈 ELEMENTAL GEARBOLT,,,1997,,,https://www.wikidata.org/wiki/Q2955928,,,https://www.mobygames.com/game/elemental-gearbolt,,https://ja.wikipedia.org/wiki/幻世虚構_精霊機導弾_ELEMENTAL_GEARBOLT,,,,,,,JP,,,,,https://collection.rcgs.jp/resource/AGENT0001154,,,,,,,,,,,,,,,ファーストパーソン・シューティング|ガンシューティングゲーム,SF|ファンタジー,,ダーク,,,,,
https://collection.rcgs.jp/resource/WORK0006677,BOUNDARY GATE,BOUNDARY GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロールプレイングゲーム,ハイ・ファンタジー,,ダーク|冒険的,,,,,
https://collection.rcgs.jp/resource/WORK0008680,NHL 2K2,NHL 2K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スポーツ,,,,,NHL 2K,NHL,,
https://collection.rcgs.jp/resource/WORK0002642,銀河お嬢様伝説ユナ (1992),銀河お嬢様伝説ユナ|Galaxy Fraulein Yuna,銀河少女傳說#銀河少女傳說 ～哀傷的賽雷茵～|銀河少女傳說2 永遠的Princess|Galaxy Fräulein Yuna|銀河お嬢様伝説ユナ 哀しみのセイレーン|銀河少女傳說FX 哀傷的賽雷茵|銀河少女傳說 ～深暗的仙女～|銀河少女傳說3 LIGHTNING ANGEL|銀河少女傳說|銀河少女傳說 ～哀傷的賽雷茵～|銀河少女傳說#銀河少女傳說2|銀河少女傳說 FINAL EDITION|銀河お嬢様伝説ユナ FINAL EDITION,,1992,,,https://www.wikidata.org/wiki/Q3545126,,/m/091p_q,,,https://ja.wikipedia.org/wiki/銀河お嬢様伝説ユナ,https://www.imdb.com/title/tt0113169,,,,,,JP,,,https://collection.rcgs.jp/resource/TOPIC0000883,,,,,,,,,,,,,,,,,ロボットもの|魔法少女もの|コメディ|アドベンチャー,SF,,,,銀河お嬢様伝説ユナ,,,
https://collection.rcgs.jp/resource/WORK0009180,ゲットバスバトル (2002),Get bass battle|ゲットバスバトル,,,2002,,,,,,,,,,,,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
