resource_uri,prefLabel_ja,prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,hasOccupation,birthDate,deathDate,birthPlace,deathPlace,homeLocation,mbox,addressCountry,additionalName,title,source
https://collection.rcgs.jp/resource/AGENT0005799,土田俊郎,Toshiro Tsuchida,,,,,,,https://www.wikidata.org/entity/Q4506218,,https://ja.wikipedia.org/wiki/土田俊郎,,,,ゲームデザイナー,1964,,愛知県半田市,,,,JP,,,"https://ja.wikipedia.org/wiki/土田俊郎 (accessed 2020-01-06)|https://www.mobygames.com/developer/sheet/view/developerId,454755/ (accessed 2020-01-06)|https://collection.rcgs.jp/resource/VARIATION0001258|https://www.wikidata.org/entity/Q4506218 (accessed 2020-08-28)"
https://collection.rcgs.jp/resource/AGENT0005992,"福島, 雄二","FUKUSHIMA, Yuji",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,258822",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,258822/ (accessed 2020-01-22)|https://collection.rcgs.jp/resource/VARIATION0001435|https://ja.wikipedia.org/wiki/夢幻戦士ヴァリス (accessed 2020-01-22)"
https://collection.rcgs.jp/resource/AGENT0003816,"内海, 一郎",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47270,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019688
https://collection.rcgs.jp/resource/AGENT0006026,"重野, 健一郎","SHIGENO, Kenichiro",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,57958",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,57958/ (accessed 2020-01-22)|https://collection.rcgs.jp/resource/VARIATION0012819"
https://collection.rcgs.jp/resource/AGENT0004619,,"KIMURA, Akihito ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,80778",,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0001283
https://collection.rcgs.jp/resource/AGENT0004498,"臼井, 健太","USUI, Kenta",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,53612",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,53612/ (accessed 2019-10-16)|https://collection.rcgs.jp/resource/VARIATION0027215|https://ja.wikipedia.org/wiki/スーパーマリオ_ヨッシーアイランド (accessed 2019-10-16)"
https://collection.rcgs.jp/resource/AGENT0004600,,"KOMIYAMA, Tsutomu ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,128925",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,128925/ (accessed 2020-02-05)"
https://collection.rcgs.jp/resource/AGENT0005775,,"CLIFT, Mathew A.",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,347805",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,347805/ (accessed 2020-01-06)|https://collection.rcgs.jp/resource/VARIATION0017366"
https://collection.rcgs.jp/resource/AGENT0003657,"木下, 肇",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47111,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019402
https://collection.rcgs.jp/resource/AGENT0006004,"久保田, 浩","KUBOTA, Hiroshi",Jimita,http://jimita.com/,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,45142",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,45142/ (accessed 2020-01-22)|https://collection.rcgs.jp/resource/VARIATION0001923|https://segaretro.org/Hiroshi_Kubota (accessed 2020-01-22)"
https://collection.rcgs.jp/resource/AGENT0004668,,"HASHIMOTO, Masayuki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,76497",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0002257|https://www.mobygames.com/developer/sheet/view/developerId,76497/ (accessed 2019-10-21)"
https://collection.rcgs.jp/resource/AGENT0003752,"川又, 浩一",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47206,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019644
https://collection.rcgs.jp/resource/AGENT0005236,"林, 智之","HAYASHI, Tomoyuki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,34174",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,34174/ (accessed 2019-11-13)"
https://collection.rcgs.jp/resource/AGENT0005938,,Samantha Kelly,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,67892",,,,voice actor,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,67892/ (accessed 2020-01-15)|https://collection.rcgs.jp/resource/VARIATION0025186|https://www.mariowiki.com/Samantha_Kelly (accessed 2020-01-15)"
https://collection.rcgs.jp/resource/AGENT0005862,,"YAMADA, Ryosuke",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,80850",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0024308|https://www.mobygames.com/developer/sheet/view/developerId,80850/ (accessed 2020-01-08)"
https://collection.rcgs.jp/resource/AGENT0006205,鶴ひろみ,Hiromi Tsuru,靏弘美|靏ひろみ|鶴ひろみ,http://www.aoni.co.jp/actress/ta/tsuru-hiromi.html,,ISNI:0000 0003 5985 9496,,https://viaf.org/viaf/220654763,https://www.wikidata.org/entity/Q2311628,,https://ja.wikipedia.org/wiki/鶴ひろみ,,,,声優,1960,2017,北海道,東京都中央区,,,JP,,,"https://collection.rcgs.jp/resource/VARIATION0017681|https://www.wikidata.org/entity/Q2311628 (accessed 2020-08-28)|https://ja.wikipedia.org/wiki/鶴ひろみ (accessed 2020-02-07)|https://www.mobygames.com/developer/sheet/view/developerId,186722/ (accessed 2020-02-07)"
https://collection.rcgs.jp/resource/AGENT0004978,,"YOKOYAMA, Natsuko",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,555633",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0024235|https://www.mobygames.com/developer/sheet/view/developerId,555633/ (accessed 2019-11-11)"
https://collection.rcgs.jp/resource/AGENT0004582,,"ARAO, Hideko ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,147939",,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0003185
https://collection.rcgs.jp/resource/AGENT0005194,"竹部, 隆司","TAKEBE, Takashi", Takebe,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,127677",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,127677/ (accessed 2019-11-13)"
https://collection.rcgs.jp/resource/AGENT0003636,"末吉, 正成",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47090,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019383
https://collection.rcgs.jp/resource/AGENT0003667,"新, 清士",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47121,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019407
