resource_uri,exemplarOf,identifier,spatial,owns,holdingAgent
https://collection.rcgs.jp/resource/ITEM0019622,,RCGSa0021320,A196.E70,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001553,https://collection.rcgs.jp/resource/PACKAGE0004842,RCGSa0001551|S5150,C73,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000415,https://collection.rcgs.jp/resource/PACKAGE0000740,S4030|RCGSa0000416,C89,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000021,https://collection.rcgs.jp/resource/PACKAGE0004909,S3421|RCGSa0000021,A12,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003897,https://collection.rcgs.jp/resource/PACKAGE0005418,S7449|RCGSa0003903,D6,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004769,https://collection.rcgs.jp/resource/PACKAGE0006889,RCGSa0008694|S3486,A84,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0012955,,RCGSa0016317|S15607,38,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019077,,RCGSa0018969,P16,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0014083,,S16896|RCGSa0006801,39,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018865,,RCGSa0019218,P15,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001520,https://collection.rcgs.jp/resource/PACKAGE0000993,RCGSa0001518|S5121,A38,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020884,https://collection.rcgs.jp/resource/PACKAGE0023595,RCGSa0022144,D71,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000060,https://collection.rcgs.jp/resource/PACKAGE0000583,RCGSa0000061|S3497,C80,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009698,https://collection.rcgs.jp/resource/PACKAGE0009921,RCGSa0014298|S12922,D1,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004889,https://collection.rcgs.jp/resource/PACKAGE0007407,RCGSa0008817|S8168,C4,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017172,,RCGSa0018421,P10,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019636,,RCGSa0021387,7,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003717,https://collection.rcgs.jp/resource/PACKAGE0002264,RCGSa0003723|S7271,C60,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016675,,RCGSa0017862,P1.E21,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0005540,https://collection.rcgs.jp/resource/PACKAGE0006687,RCGSa0009531|S8938,C178,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009867,https://collection.rcgs.jp/resource/PACKAGE0010090,S13087|RCGSa0014680,C190,https://collection.rcgs.jp/resource/AGENT0000848,
